cleaned_text,aspect,sentiment
ga ada option ikn,Irrelevant,
pencatut kuota haji dan pembohongan investor ikn dapet penghargaan keren,Irrelevant,
jokowi berkantor di ikn,Irrelevant,
masih kurang itu bahas lepas hijab di ikn,Irrelevant,
loh emang kenapa dengan ikn,Irrelevant,
viralkan sampe ikn tau,Irrelevant,
mau sama siapa di ikn bos ak betah lah sendiri,Irrelevant,
segitunya maksain mau upacara di ikn mudah2an aja hujan badai dan petir,Irrelevant,
hahahahah setujuuu lagian rk mana pernah sih dipekerjakan sama jokowi logicnya harusnya kalo rk abis pensiun bukan jadi kurator ikn tapi jadi kepala otorita ikn atau menteri itu baru namanya kepercayaan,Irrelevant,
ayo mass gaskan pilih formasi d ikn,Irrelevant,
plis svt buatin 3 kota gini juga kl bs include bpp dh mw jadi ni ikn,Irrelevant,
mending malaysia klaim ikn aja deh,Irrelevant,
wapresnya anak pembangun candi ikn ketua mpr anak pembangun candi hambalang tiada harapan,Irrelevant,
kamar tidur jokowi di ikn sudah dipasangi ac basuki semoga jadi nyenyak baca di,Irrelevant,
palingan selfi2 an sndri di ikn,Irrelevant,
i like that punchline ngusirin orang di ikn buat balik ke jakarta,Irrelevant,
cari aku di ikn ya gusy kalo aku tbgb ilang,Irrelevant,
nasibnya kayak di ikn ya,Irrelevant,
sampai lengser mulyono biarkan bertapa di ikn,Irrelevant,
ikn palace 2024,Irrelevant,
apa karena ini ya allah gak izinkan aku jadi pns karena penempatannya di ikn ibu pas denger tempatnya juga gak setuju tapi ya namanya kesempatan cpns siapa yg gak mau padahal udah belajar pagi siang malam ikut les eh gak lolos wkwk tapi yaudahlah,Irrelevant,
ini orang jongosnya aguan waktu di ikn gaya banget bareng rombongan oligarki,Irrelevant,
ikn nya filipina,Irrelevant,
udahkan otorita ikn rk yah ngga minyak,Irrelevant,
wow antek antek ikn ini ada ada aja idenya tiap hari,Irrelevant,
lah udah sampe pier ajah bisa bubar atau yg operasi di ikn ternyata trial period habis dan dibalikin,Irrelevant,
temen ngabarin bsk gagal muncak 17 agustus an gwh kira karna alasan jokowi g ngebolehin dan hrs diem di rumah nontonin upacara terakhir si bgst di ikn tp ternyata karna ada perkiraan dampak cuaca buruk di mt nya hehe,Irrelevant,
kombinasi sps 1 dan nv 3 pt pindad menjadi penjaga keamanan langit ikn breaking news pdip anies kaesang prof yasonna h laoly marselino ferdinan cpns ridwan kamil mau min marceng,Irrelevant,
lihat design nya istiqlal kotak muat lebih banyak ikn seperti apa,Irrelevant,
jokowi pingin rutin ke ikn masih merasa menjadi raja jawa merasa masih bisa pengaruhi kabinet dan berkuasa kekuasaan itu memang manis menyesal untuk dilepaskan,Irrelevant,
buat ngidupin listrik ikn maybe tapi butuh pertamina juga kan ya buat ngidupin generator kali ya hahaha,Irrelevant,
serlok dong gw mau ke ikn,Irrelevant,
ganjar maju di kaltim coba biar berantem sama otorita ikn,Irrelevant,
that upacara ikn ketutup sama berita bebas jessica wongso jangan sampe ini ketutup jg sama berita arhan dkk pls,Irrelevant,
yg kemaren pilih pks nasdem pkb semua kabur pilih anieskang emil jd gubernur ikn aj daripada malu didukung 12 partai tp keok lawan anies baswedan,Irrelevant,
kenapa gk pindah ke ikn aja kenapa malah ke jakarta selatan,Irrelevant,
owi wowo petamburan satu kubu fix akan total menganjing anjingi senayan ikn dalam 5 tahun kedepan,Irrelevant,
mobil smk 11 000 t kereta cepat ikn ijazah asli,Irrelevant,
pengen main ke ikn ikutin caranya biar bisa ke ikn cari kami di google berita selengkapnya transisidamai prabowojkw tetapjagahati walaudifitnah,Irrelevant,
ikn dapat menjadi jembatan menuju kesejahteraan,Irrelevant,
contoh kamu jadi presiden aku sebagai anis sakit hati sama kamu jadi presiden belom ada fakta akurat ikn mangkrak kamu cuci tangan menyalahkan rakyat sendiri bener kata aku jadi orang percaya kamu harus di adili,Irrelevant,
kayaknya sampe ikn selesai masih di angka 7,Irrelevant,
diihh jakarta a juga ogah ma boneka oligarki pindahin aja ke ikn ge,Irrelevant,
suroboyo benahi sik terutama jalur tambak langon margomulyo semrawut muacet mben ndino nggak usah sik melu cawe2 ikn,Irrelevant,
biasa aja kan ada ikn di kaltim pks cukup kuat,Irrelevant,
iya sih gapura ikn aja kalo gitu,Irrelevant,
berarti masih bisa ngejokes bantu pa basuki paved the way di ikn,Irrelevant,
di ikn masih jarang tukang urut,Irrelevant,
tau kan ikn punya siapa,Irrelevant,
ntar di ikn dikit lg jadi,Irrelevant,
persiapan hut ke 79 tni di monas panggung utama dibangun seperti istana ikn kaltim,Irrelevant,
saya berdoa semoga kalimantan terutama daerah sekitar ikn hujan deras selama 16 18 agustus,Irrelevant,
momen unik prabowo selfie bareng iriana dan ibu ibu di ikn,Irrelevant,
yang nanya ikn bisa baca gasih,Irrelevant,
profil zahra aisyah anggota paskibraka asal sulteng yang dipaksa lepas jilbab untuk upacara 17 agustus di ikn,Irrelevant,
kalo mau googling banyak sih beritanya bahkan di area ikn,Irrelevant,
airlangga hartarto langsung terbang ke ikn temui jokowi usai mundur dari ketum golkar,Irrelevant,
nanti gw foto gw tutupin semua member biar ngundang amarah dari seluruh sub fandom yang sangat dahsyat agar dapat meruntuhkan rumah ikn,Irrelevant,
org ikn kata gua mendarat dulu di halim,Irrelevant,
jokowi udah lengser inih ikn udah kosong tinggali aja di situ induk kelelawar nusantara ikn,Irrelevant,
bisa di ikn bisa di nusa tenggara bisa di sulawesi bisa di papua kalimantan sumatera juga,Irrelevant,
banyak kayaknya ga cm ikn si deal2an abis dia lengser jg butuh duit,Irrelevant,
kalau bapak tetap seperti dulu haqul yaqin bapak bakalan jadi ikn 1,Irrelevant,
satu indonesia isinya kaya thom haye sma jay idzes apa gak jadi hutan itu buat gantiin ikn,Irrelevant,
bingungnya kemlu sekilas baca malah minimal 475 wkwk aku mau nyoba ikn tapi mo nyoba berjuang dulu bisa gak 500 ndek toefl prediction wkwk,Irrelevant,
gaboleh sassy mouth acis tapi cek nemene rek mosok pengumuman cpns sing wes lengkap singkat padat gak diwoco ujug2 daftar wes enek tulisane jelas ikn ikn ikn masio mripatmu minus 50 iku tulisane diulang ulang kon ae sing gak iqro menangis indo krisis membaca,Irrelevant,
